epoch,global_step,lr_start,lr_next,best_val_dice,best_epoch,bad_epochs,early_stop,epoch_compute_seconds,val/volume_seconds,train/loss,train/ce,train/dice_loss,train/precision/background,train/precision/normal_myocardium,train/precision/edema,train/precision/scar,train/mean_precision,train/recall/background,train/recall/normal_myocardium,train/recall/edema,train/recall/scar,train/mean_recall,train/dice/background,train/dice/normal_myocardium,train/dice/edema,train/dice/scar,train/mean_dice,train/iou/background,train/iou/normal_myocardium,train/iou/edema,train/iou/scar,train/mean_iou,train/pixel_accuracy,train/seconds,train/samples_per_second,train/samples,train/gpu_peak_allocated_mb,train/gpu_peak_reserved_mb,train/grad_norm,train/amp_skipped_steps,train/optimizer_updates,train/amp_scale,val/loss,val/ce,val/dice_loss,val/precision/background,val/precision/normal_myocardium,val/precision/edema,val/precision/scar,val/mean_precision,val/recall/background,val/recall/normal_myocardium,val/recall/edema,val/recall/scar,val/mean_recall,val/dice/background,val/dice/normal_myocardium,val/dice/edema,val/dice/scar,val/mean_dice,val/iou/background,val/iou/normal_myocardium,val/iou/edema,val/iou/scar,val/mean_iou,val/pixel_accuracy,val/seconds,val/samples_per_second,val/samples,val/gpu_peak_allocated_mb,val/gpu_peak_reserved_mb,val/avg_pathology_dice,val/patient_precision/scar,val/precision_defined_cases/scar,val/precision_undefined_cases/scar,val/patient_recall/scar,val/recall_defined_cases/scar,val/recall_undefined_cases/scar,val/patient_dice/scar,val/defined_cases/scar,val/undefined_cases/scar,val/patient_precision/edema,val/precision_defined_cases/edema,val/precision_undefined_cases/edema,val/patient_recall/edema,val/recall_defined_cases/edema,val/recall_undefined_cases/edema,val/patient_dice/edema,val/defined_cases/edema,val/undefined_cases/edema,checkpoint_seconds,epoch_seconds
1,99,0.0003,0.00029729864502385023,0.3079282485452919,1,0,False,37.08442898499993,5.534744710000041,0.5407703458054135,0.5486270675225554,0.5329136258446823,0.9880865690762699,0.37558952985717065,0.2931640457952419,0.05127818901704252,0.2400105882231517,0.9155160477982527,0.821210909928075,0.6663638527379527,0.06692582598255473,0.5181668628828607,0.9504180153823247,0.5154380117520867,0.40718758326671994,0.05806630434451537,0.326897299787774,0.9055205113191112,0.3471987130429016,0.2556406385265544,0.029901280602124544,0.2109135440571935,0.8933040101567451,29.633843952999996,53.249926081231536,1578,3174.5029296875,3256.0,1.231078674395879,0,99,1.0,0.3093282329249503,0.190918225322278,0.4277382373507253,0.9804317836931641,0.6568748160400628,0.58713983593087,0.27383766745468874,0.5059507731418739,0.9887937848649088,0.7566591853302135,0.6121195098830882,0.021558186424029364,0.46344562721244364,0.9845950303292826,0.7032450053369609,0.599369518957403,0.039969711202062705,0.4475280784988089,0.969657486163943,0.5423113913046455,0.42792837016601704,0.02039239466374555,0.33021071871146934,0.9584618582943369,1.8765078589999575,209.96448168886081,394,1181.83447265625,3256.0,0.3079282485452919,0.2750352277158558,60,1,0.024835427867278163,61,0,0.043478430354501885,61,0,0.5883253686840163,60,1,0.627676996037467,61,0,0.5723780667360818,61,0,1.8827644839999493,38.972635655999966
2,198,0.00029729864502385023,0.00029459455997897255,0.48343627485437835,2,0,False,32.23666648599999,5.020639850000066,0.2584814974337023,0.14215855464735866,0.3748044408244023,0.9881249827858807,0.6834658377532781,0.6328593307841327,0.33588417847867946,0.5507364490053633,0.9860673102640584,0.7671092861543211,0.6801797955316378,0.2669232749140089,0.571404118866656,0.9870950741835816,0.7228760265754831,0.6556668747881933,0.2974591784051025,0.5586673599229264,0.974518979052221,0.5660186807371116,0.48772648868924473,0.17471485830598188,0.40948667591077936,0.9609727750712928,25.319565069999953,62.32334543019869,1578,3174.5029296875,3256.0,0.522165941469597,0,99,1.0,0.24044035231401473,0.12818291976215876,0.352697784374208,0.992392669790111,0.6895636767815209,0.6502513824382444,0.28961921925638306,0.5431447594920494,0.9805918535728769,0.7880473711857122,0.6911069760910017,0.38715814506539836,0.6221041641140374,0.9864569701569675,0.7355235242730562,0.6700569818025857,0.3313598994699162,0.5789801351818528,0.9732758660574483,0.5816822522144637,0.50382382751313,0.1985808080272383,0.428028962584944,0.9590681821561707,1.887306155000033,208.76316169275307,394,1181.83447265625,3256.0,0.48343627485437835,0.296546482138185,61,0,0.4311550516434528,61,0,0.32615900531861103,61,0,0.6291159108688381,61,0,0.6868983167123446,61,0,0.6407135443901456,61,0,4.9854129760000205,37.22756168600006
3,297,0.00029459455997897255,0.00029188771420503914,0.48343627485437835,2,1,False,32.06196048600009,4.973506252999982,0.23477241638646532,0.11478017181800194,0.35476466004839413,0.9896166366812837,0.7025711872264432,0.6732790568313985,0.3509181825627212,0.5755894755401877,0.9860975461099784,0.7648677195135063,0.6773292732336841,0.3609696623639206,0.6010555517037036,0.9878539573394611,0.732397129858867,0.6752980921198618,0.35587296167440313,0.5878560612177106,0.9759994266665083,0.5777812176910919,0.509773623864188,0.21645101222642102,0.43466861792723366,0.9624272142224136,25.187779430999967,62.64942903453687,1578,3174.5029296875,3256.0,0.4973532593611515,0,99,1.0,0.2554688216163422,0.11662276512777744,0.39431488392921876,0.9828252754882597,0.6572539736219141,0.8029223093371347,0.4114407609760345,0.6238723479783611,0.9923484489797821,0.8167136239912134,0.47459888354457047,0.19544021092901825,0.4955842394882674,0.9875639045487737,0.7283583106557132,0.5965709746463955,0.2650011215791835,0.529976802293764,0.9754333226420899,0.5727700788350893,0.4250809722964687,0.15273849734150008,0.38352984949101937,0.9632889026312659,1.8913510479999331,208.31669531504863,394,1181.83447265625,3256.0,0.41145060975214953,0.40670998355950877,61,0,0.21916182047149182,61,0,0.25753426370163784,61,0,0.7918529779455493,60,1,0.481563403495427,61,0,0.5653669558026613,61,0,1.5006790050000518,33.568328955000084
4,396,0.00029188771420503914,0.00028917807637756526,0.48535120870651294,4,0,False,32.059661050000045,4.968883864000077,0.22473028789454993,0.10469397951592661,0.3447665948378269,0.9897699076447336,0.7170240400454113,0.6910453234954502,0.36945098172970886,0.5925067817568569,0.9870499604786538,0.7654011918933039,0.6915312067934936,0.3802297118305337,0.6123873701724437,0.9884080628460342,0.7404232510926368,0.6912881797667101,0.3747628597755976,0.6021580968783148,0.9770817921175237,0.5878349626054363,0.5282203225179717,0.23058964781216648,0.4488816443118582,0.9639518940856702,25.198665177000066,62.62236467351891,1578,3174.5029296875,3256.0,0.45761776060769055,0,99,1.0,0.23905506745207733,0.11433038213833939,0.3637797543542639,0.9915770601217346,0.7915139053235307,0.6008631135865984,0.26997314055490473,0.554116719821678,0.9859220184738651,0.5845470607898381,0.7938489625390583,0.3907666856227059,0.5897209029838675,0.9887414534543258,0.6724660292312045,0.6840043439987173,0.31932844112664394,0.558599604785522,0.9777335942739236,0.5065527843643571,0.519761855504218,0.19000050273993263,0.4054383808695026,0.9597471595415609,1.8828323290000526,209.25920695723778,394,1181.83447265625,3256.0,0.48535120870651294,0.27880205969804006,61,0,0.41663979452220756,61,0,0.3083246245969777,61,0,0.5870718248602904,61,0,0.8037097462573184,61,0,0.6623777928160481,61,0,3.004038852000008,35.06892057699997
5,495,0.00028917807637756526,0.0002864656144864499,0.5067038273504225,5,0,False,32.18187337300003,4.880460929000037,0.21733452921735621,0.09769660312828758,0.33697245586356583,0.9902926982639307,0.7264953001882299,0.7048616137940893,0.38153564408305085,0.6042975193551233,0.9875718906175247,0.7739024609316194,0.6987624580794483,0.3988181882006038,0.6238277024038905,0.9889304230299419,0.7494499328648574,0.7017987846321008,0.3899855373602936,0.6137447516190839,0.9781032339965544,0.5992962237663588,0.5405932272473007,0.24222486593126072,0.46070477231497337,0.9651592917013229,25.395143684000004,62.1378646104769,1578,3174.5029296875,3256.0,0.42846390815696334,0,99,1.0,0.22359800686691014,0.10410982926333616,0.3430861830711365,0.9906071724068766,0.7670064912601998,0.7399404264214047,0.3068560939612298,0.6046010038809447,0.9866317193506778,0.719984718972351,0.5965453077274163,0.5116372848058729,0.6093891038352134,0.9886154493391917,0.7427521417205689,0.6605502447216705,0.38362929453857575,0.5956438936602717,0.9774871968266273,0.5907762235022138,0.49315044638192645,0.23733992037987434,0.44042219675467154,0.9622592054647843,1.8969957200000636,207.69683128224813,394,1181.83447265625,3256.0,0.5067038273504225,0.30889830527227985,61,0,0.5594463326233808,61,0,0.3732911353092117,61,0,0.7312978596592308,61,0,0.5980939440279258,61,0,0.6401165193916333,61,0,3.045067675000041,35.23248982300004
6,594,0.0002864656144864499,0.0002837502958135896,0.5125126681465302,6,0,False,32.34597354499999,5.0620783639999445,0.2127848300794836,0.09409282446209771,0.33147683588573085,0.990391472244295,0.7348001053425599,0.7091917403269073,0.3983458331360867,0.6141125596018514,0.9878094891395567,0.7799481653598384,0.7065015378634145,0.4135449552191302,0.6333315528141277,0.9890987956667734,0.7567013016656461,0.707844083036795,0.40580312546646613,0.6234495033896358,0.9784327008682973,0.6086238992121508,0.54780082940792,0.2545501951164,0.4703249745788236,0.9659729390694313,25.37468748799995,62.187958009187646,1578,3174.5029296875,3256.0,0.42072629717865373,0,99,1.0,0.22200685421827482,0.10359441103215145,0.3404193000139924,0.9929863671094111,0.7546932822612875,0.6435461616788475,0.31174723466691356,0.5699955595356828,0.9846382972772658,0.6943603457332506,0.7499912228346733,0.4525564803804994,0.6323026829828078,0.9887947125026112,0.7232708000169121,0.6927033004092275,0.36918106902165204,0.5950517231492639,0.9778377592840312,0.5665029044737857,0.5298745882446323,0.2263777185859474,0.4409184037681218,0.9620731566763167,1.8999408049999147,207.37488187165795,394,1181.83447265625,3256.0,0.5125126681465302,0.3166175817137571,61,0,0.4861413239894493,61,0,0.35815495913883644,61,0,0.6190453615470223,61,0,0.7603201102549756,61,0,0.6668703771542238,61,0,3.1858832670000083,35.53751543999999
7,693,0.0002837502958135896,0.00028103208690951524,0.5227750284810515,7,0,False,32.14655313200001,5.038030574999993,0.21089729168115914,0.09173852048521562,0.33005606387806785,0.9905423822464006,0.7364464180827335,0.7134699024158474,0.39907880133185347,0.6163317072768115,0.9879880741414043,0.7756221227888407,0.7093941464194605,0.42075048678199656,0.6352555853300993,0.9892635793716985,0.7555267749758473,0.7114261869706555,0.4096282051866265,0.6255270557110432,0.978755251301566,0.6071056892053134,0.5521035580399882,0.25756757414997755,0.47225894046509315,0.9661895790631931,25.242780121000123,62.51292418806203,1578,3174.5029296875,3256.0,0.4220987347641377,0,99,1.0,0.2156383884588474,0.09861555532906867,0.33266121754186406,0.9925540691647223,0.7111344102508848,0.6948708167157968,0.359141565424473,0.5883822641303847,0.9852109857633637,0.8194498830046321,0.7034582031387143,0.39918316703717105,0.6406970843935058,0.9888688956947627,0.7614595443694033,0.6991381415960083,0.37810521367395805,0.6129009665464565,0.9779828664001279,0.6148039338623865,0.5374422634343131,0.23312561139089163,0.4617906028958638,0.9648377084490006,1.856302795999909,212.24985538405627,394,1181.83447265625,3256.0,0.5227750284810515,0.35485356053348033,61,0,0.44088148590126625,61,0,0.3649463211608188,61,0,0.6769617111632042,61,0,0.7161282240377862,61,0,0.6806037358012841,61,0,3.2994389609998507,35.451960982999935
8,792,0.00028103208690951524,0.00027831095356899843,0.5227750284810515,7,1,False,32.12293658500016,4.934313814999996,0.20758141371384925,0.08929195571383898,0.32587087090175565,0.9906181254967555,0.7443221117459107,0.7163650498074594,0.4123349038387271,0.6243406884640325,0.988422448356643,0.7799504167773436,0.719847616694583,0.42474937519305833,0.6415158028883283,0.9895190689127366,0.7617198767404787,0.7181021109403544,0.4184500824178991,0.6327573566995773,0.9792555588832614,0.6151434254919683,0.5601866709267525,0.26458227955120905,0.47997079198997666,0.9670125867024121,25.333336675000055,62.28946546773814,1578,3174.5029296875,3256.0,0.40692554429323985,0,99,1.0,0.2228484443450337,0.09741412114522179,0.348282762287837,0.9895695222456324,0.6786455410642392,0.8008960996085459,0.3866308981331765,0.6220575129353206,0.9888061043265284,0.8604937682059118,0.5961942211143489,0.326350617794551,0.594346202371604,0.9891876659917771,0.7588270345501366,0.683548685746488,0.3539425066301843,0.5987727423089363,0.9786066440931755,0.6113789581898438,0.5192358261528959,0.21502438891462516,0.44854639108578825,0.9660568624583598,1.8460151889998997,213.43269673390614,394,1181.83447265625,3256.0,0.5033942073805655,0.37941248678766654,61,0,0.37155066838402656,61,0,0.34535017735111684,61,0,0.7872274449261805,61,0,0.5998458621395552,61,0,0.6614382374100141,61,0,1.5172577750001892,33.64560210700006
9,891,0.00027831095356899843,0.0002755868608055698,0.5227750284810515,7,2,False,32.121668623999994,4.945276188999969,0.205725633599459,0.0879325741484138,0.3235186917851331,0.9908244829516021,0.7416265937872971,0.7243737880356336,0.4167483091558955,0.6275828969929421,0.9883671706629364,0.7836817304955568,0.722157418510847,0.43292413299361987,0.6462544273333412,0.9895943013401239,0.7620743991861628,0.7232639053168298,0.42468224569327584,0.6366735167320895,0.9794029295882289,0.6156059771969816,0.56649444495913,0.2695851326072134,0.48389518492110833,0.9672588933405616,25.254960541999935,62.482774319751066,1578,3174.5029296875,3256.0,0.41305317932909186,0,99,1.0,0.22916380130700048,0.09706786781700734,0.36125973547775736,0.9860445111294366,0.685028535067311,0.8066551580451218,0.4320953627781989,0.6412596852968773,0.9923233106189098,0.822534740461296,0.5709089632412316,0.2593599751848214,0.5509345596291164,0.9891739472762529,0.7475106052879973,0.6686101254476603,0.32415178946416223,0.5800908400666066,0.9785797908659446,0.596819907972059,0.5021895826513406,0.19342550681276652,0.4308116658120554,0.9665367784838991,1.9096272669999053,206.3229860657512,394,1181.83447265625,3256.0,0.4764182808279457,0.4074212605873749,61,0,0.289979693659907,61,0,0.3060506559036235,61,0,0.797395163366909,61,0,0.5752082921555364,61,0,0.6467859057522678,61,0,1.4936005619999833,33.621043676
10,990,0.0002755868608055698,0.00027285977282488864,0.5342760671822984,10,0,False,32.04612014200006,4.952399244999924,0.2031481923070395,0.08582635944371592,0.3204700267662416,0.9909959845929156,0.7519047653634126,0.7319164345505788,0.41659533904396656,0.6334721796526527,0.988663861646616,0.7856549274663894,0.7271158140303893,0.44077597201258967,0.6511822378364561,0.9898285494500804,0.7684094304085212,0.7295082266043975,0.4283446696548164,0.6420874422225783,0.9798619322603455,0.6239162992806969,0.5741935854135162,0.27254364324316505,0.49021784264579277,0.967832074570263,25.249804261999998,62.49553397032984,1578,3174.5029296875,3256.0,0.39934515591823694,0,99,1.0,0.20864348476610814,0.09140534521208196,0.32588162624896483,0.9918408418136079,0.7410879233664044,0.6673584436232122,0.3908335789209426,0.5997599819701863,0.987366891546785,0.7758225490664247,0.7722220271741038,0.370232125316652,0.6394255671857269,0.9895988100530793,0.7580575547960385,0.7159709382568162,0.38025401949748316,0.6180941708501125,0.9794117622773838,0.6103805838373971,0.5575971444795976,0.23476151450581872,0.46757974760760446,0.9665118377220813,1.833725104999985,214.86317601568925,394,1181.83447265625,3256.0,0.5342760671822984,0.3979951160963228,61,0,0.4050272267141851,61,0,0.3727458022683098,61,0,0.6444817882068501,61,0,0.7882763627817074,61,0,0.6958063320962868,61,0,3.031305513999996,35.08317044099999
