case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0011,edema,0.4254062038404727,0.2701688555347092,10.816653826391969,2.6174706025004455,ok,0.7728085867620751,0.29347826086956524,559,1472,voxel,10.816653826391969,2.6174706025004455,0.4254062038404727,10.816653826391969,0.055856752000181586
case0011,scar,0.24411951684678956,0.1390296886314265,4.47213595499958,1.8010929009247256,ok,0.15508885298869143,0.573134328358209,1238,335,voxel,4.47213595499958,1.8010929009247256,0.24411951684678956,4.47213595499958,0.055856752000181586
case0011,edema_inclusive,0.8618201997780244,0.7571916138469039,1.0,0.17677010503899201,ok,0.864218141346689,0.8594355285002767,1797,1807,voxel,1.0,0.17677010503899201,0.8618201997780244,1.0,0.055856752000181586
case0011,myocardial_ring,0.887651134356745,0.7979970688812897,1.0,0.15558738978615175,ok,0.8712,0.90473553032401,3750,3611,voxel,1.0,0.15558738978615175,0.887651134356745,1.0,0.055856752000181586
case0016,normal_myocardium,0.626123013130615,0.4557344064386318,2.23606797749979,0.5599281403914351,ok,0.5960526315789474,0.6593886462882096,760,687,voxel,2.23606797749979,0.5599281403914351,0.626123013130615,2.23606797749979,0.05801056900054391
case0016,edema,0.7631578947368421,0.6170212765957447,2.0,0.3442706004954632,ok,0.7573248407643313,0.7690815006468306,1570,1546,voxel,2.0,0.3442706004954632,0.7631578947368421,2.0,0.05801056900054391
case0016,scar,0.5686160972785177,0.39724919093851135,6.4031242374328485,1.2745794713733203,ok,0.5201271186440678,0.6270753512132823,944,783,voxel,6.4031242374328485,1.2745794713733203,0.5686160972785177,6.4031242374328485,0.05801056900054391
case0016,edema_inclusive,0.8110675201321494,0.6821813129558875,2.0,0.422777679791233,ok,0.781225139220366,0.8432803778445684,2514,2329,voxel,2.0,0.422777679791233,0.8110675201321494,2.0,0.05801056900054391
case0016,myocardial_ring,0.8117647058823529,0.6831683168316832,1.4142135623730951,0.2743208414654642,ok,0.7797800855222969,0.8464854111405835,3274,3016,voxel,1.4142135623730951,0.2743208414654642,0.8117647058823529,1.4142135623730951,0.05801056900054391
case0021,normal_myocardium,0.848642779587405,0.7370803470388533,1.0,0.23345329026618475,ok,0.8742729306487695,0.8244725738396624,2235,2370,voxel,1.0,0.23345329026618475,0.848642779587405,1.0,0.05566189000001032
