epoch,global_step,lr_start,lr_next,best_val_dice,best_epoch,bad_epochs,early_stop,epoch_compute_seconds,train/loss,train/ce,train/dice_loss,train/dice/background,train/dice/normal_myocardium,train/dice/edema,train/dice/scar,train/mean_dice,train/iou/background,train/iou/normal_myocardium,train/iou/edema,train/iou/scar,train/mean_iou,train/pixel_accuracy,train/seconds,train/samples_per_second,train/samples,train/gpu_peak_allocated_mb,train/gpu_peak_reserved_mb,train/grad_norm,train/amp_skipped_steps,train/optimizer_updates,train/amp_scale,val/loss,val/ce,val/dice_loss,val/dice/background,val/dice/normal_myocardium,val/dice/edema,val/dice/scar,val/mean_dice,val/iou/background,val/iou/normal_myocardium,val/iou/edema,val/iou/scar,val/mean_iou,val/pixel_accuracy,val/seconds,val/samples_per_second,val/samples,val/gpu_peak_allocated_mb,val/gpu_peak_reserved_mb,val/avg_pathology_dice,val/patient_dice/scar,val/defined_cases/scar,val/undefined_cases/scar,val/patient_dice/edema,val/defined_cases/edema,val/undefined_cases/edema,checkpoint_seconds,epoch_seconds
11,1089,0.00029098481339047985,0.0002900816011764776,0.5472764290113059,10,1,False,33.699639773999934,0.20162686086124038,0.08486946852563754,0.31838425374454116,0.9898673437149753,0.7665657791925645,0.730972634667487,0.43922465370947855,0.6455876891898434,0.9799379690935057,0.6214889827612795,0.5760101433872201,0.2814143975001779,0.49297117454955924,0.9680207111083056,26.57724882699995,59.374091361815545,1578,3125.45458984375,3196.0,0.4070569002869153,0,99,1.0,0.2099228075464365,0.08837887461339762,0.33146674000672277,0.9897950830446269,0.7711030180651209,0.7082453085703231,0.4014245468558975,0.6269242911637805,0.9797963427338496,0.6274757196091664,0.5482815841655334,0.2511139189998005,0.47562374092483345,0.9680690087642766,1.9295477800001208,204.19292234368788,394,1129.69140625,3196.0,0.535886911870267,0.38954978323225403,61,0,0.6822240405082801,61,0,1.4850642769997648,35.19053589499981
12,1188,0.0002900816011764776,0.00028917807637756526,0.5472764290113059,10,2,False,33.66458573199998,0.19938572104288446,0.08352256434083136,0.31524887960522197,0.9900392995437921,0.7708263774509013,0.7356947730989557,0.44587029482557944,0.6507971484584788,0.9802750731752066,0.6271094362180808,0.5818964894278158,0.28689387593652566,0.49863326719414075,0.9685113130866801,26.578874003000237,59.37046090898638,1578,3125.45458984375,3196.0,0.3991694188479221,0,99,1.0,0.23023336929113128,0.10845407215774362,0.3520126657437552,0.9883666367492313,0.661624840585349,0.6908945799725962,0.3647869939102149,0.5724354714893867,0.9770008311837676,0.4943493129943594,0.5277608429412304,0.22308224833810147,0.4150641347578971,0.9583101998730964,1.9241382360000898,204.76699263512873,394,1129.69140625,3196.0,0.5095710218759016,0.35538576033181574,61,0,0.6637562834199876,61,0,1.5022437640000135,35.17203983099989
13,1287,0.00028917807637756526,0.00028827423779962996,0.5472764290113059,10,3,False,33.6279481370002,0.19771770311399103,0.0821116349939611,0.31332377067688,0.9901608385138628,0.7725209709949938,0.7400712138660807,0.453343660893651,0.6553119485849085,0.9805134087458891,0.6293557386647973,0.5873913049776273,0.2931120827756675,0.5032863754726974,0.9689229716215145,26.572080792999714,59.38563909589333,1578,3125.45458984375,3196.0,0.38151661946315957,0,99,1.0,0.20795827589664362,0.08880108409575399,0.3271154693238021,0.9897914047139739,0.7643589802427775,0.7143582494091518,0.40392781046432985,0.6275483467054197,0.9797891339795308,0.6185930768087952,0.5556433190512451,0.25307615351774326,0.47577084979259454,0.967418070371986,1.9481316050000714,202.24506341807722,394,1129.69140625,3196.0,0.5423889535466322,0.39258710040325395,61,0,0.6921908066900105,61,0,1.5270695909998722,35.16104144100018
14,1386,0.00028827423779962996,0.00028737008423982004,0.5472764290113059,10,4,False,33.76293253899985,0.196961912592101,0.0814313732078169,0.31249245283570426,0.9902792204939552,0.7742207527672343,0.739079070303728,0.45865217179768886,0.6573173316228837,0.980745608680451,0.6316151578802313,0.5861422813258844,0.297565652220511,0.5051076971422089,0.9691552378529983,26.70394839699975,59.09238501139749,1578,3125.45458984375,3196.0,0.3864719955006031,0,99,1.0,0.20903082751683172,0.0865982149344713,0.3314634348232734,0.9900812270870054,0.766389521775954,0.7190851888066998,0.38946056573140336,0.6249784254380191,0.9803572857955992,0.6212573055307364,0.5613840846580579,0.2418199501636365,0.47482044678414365,0.9690568798084549,1.936532717999853,203.45641276174396,394,1129.69140625,3196.0,0.5325094251196107,0.3727779061740617,61,0,0.6922409440651597,61,0,1.6052040330000636,35.373818210999616
15,1485,0.00028737008423982004,0.0002864656144864499,0.5472764290113059,10,5,False,33.67431515899989,0.19547353074880003,0.08081191787626052,0.31013514450898794,0.9902374531196249,0.7765788348067444,0.7452965475520181,0.4619618926022941,0.6612790916536856,0.9806636779893725,0.634760013068822,0.594002149350838,0.30035789775320565,0.5097066867242885,0.9694073463120841,26.70154061700032,59.097713597668594,1578,3125.45458984375,3196.0,0.3804687491872094,0,99,1.0,0.20846026114703434,0.0914408128878792,0.32547970607801135,0.989618230500316,0.7536500053143691,0.706863125242342,0.4081784353720427,0.6228971886429179,0.9794498083534806,0.6046856890342938,0.5466266866566717,0.25642223000505887,0.4692448685653414,0.9657733742960819,1.8824837610000031,209.2979542042378,394,1129.69140625,3196.0,0.5354181066398126,0.39138314007074687,61,0,0.6794530732088784,61,0,1.4552936990003218,35.13536413599968
16,1584,0.0002864656144864499,0.00028556082731890427,0.5504440845769751,16,0,False,33.65256918200021,0.1945206389038886,0.08004654502951751,0.30899473288213347,0.9903218462031662,0.7762892388212567,0.7457431816373581,0.4674023698122929,0.6631449300903026,0.980829230066156,0.6343731406541637,0.5945697649153558,0.30497396094436546,0.511305622171295,0.9695590832689718,26.600646118999975,59.32186733136854,1578,3125.45458984375,3196.0,0.38018576785771535,0,99,1.0,0.20350937144405346,0.08589133486000415,0.321127407895732,0.9901873429907838,0.7652178451042673,0.7220209153490756,0.4097408623287466,0.6323265409273632,0.9805653911324927,0.6197189051285598,0.5649708387413032,0.2576566627554574,0.4807821355417734,0.9679948061250793,2.0250823690003017,194.5599873028875,394,1129.69140625,3196.0,0.5504440845769751,0.39878868928514755,61,0,0.7020994798688026,61,0,2.7816427299999305,36.43914928799995
17,1683,0.00028556082731890427,0.00028465572150754043,0.5504440845769751,16,1,False,33.81308180499991,0.19053272345824537,0.0780390444458362,0.3030264019890581,0.9905304799578989,0.782319819608857,0.7536268389734604,0.47584345448511534,0.6705967043558109,0.9812386211686586,0.6424674000668716,0.6046558627375747,0.31220116849897966,0.5197748104344754,0.9702739836447442,26.71247391900033,59.07352515476238,1578,3125.45458984375,3196.0,0.3870299377224662,0,99,1.0,0.2038156722251534,0.0859988974927343,0.32163244758160586,0.9901914424019022,0.7686937315439464,0.7298416019650174,0.40619482048263683,0.6349100513305336,0.9805734314206482,0.6242912516865675,0.5746067601443486,0.2548585145178415,0.48458550878291917,0.96867455806829,1.9506185879999975,201.98720673731245,394,1129.69140625,3196.0,0.5489231046359102,0.3936051742728063,61,0,0.7042410349990142,61,0,1.502732738999839,35.321642591
18,1782,0.00028465572150754043,0.0002837502958135896,0.5504440845769751,16,2,False,33.714146894999885,0.19223604274793268,0.07852681100141866,0.30594527339905087,0.9904722218141384,0.7801184948998715,0.7505091426294064,0.47323111760885883,0.6679529183793789,0.9811242872326245,0.6395035022978228,0.600651968121451,0.30995596194475117,0.5167038107880083,0.9699953415245762,26.6222058809999,59.27382603280852,1578,3125.45458984375,3196.0,0.3888904672078412,0,99,1.0,0.20951182648615183,0.09112093747040342,0.3279027152182487,0.9897970642643308,0.7592579553402524,0.7042548797262911,0.4173254027516715,0.6269460792727384,0.9798002255294594,0.6119386044892724,0.5435134338592197,0.26368364253602244,0.47304522696150486,0.9661807917096288,1.9483424730001389,202.22317454964804,394,1129.69140625,3196.0,0.5391724298209994,0.40097311738770036,61,0,0.6773717422542986,61,0,1.3697136939999837,35.08970107799996
19,1881,0.0002837502958135896,0.0002828445489890563,0.5504440845769751,16,3,False,34.032551840999986,0.1910139107923242,0.07830032246383273,0.3037274992058032,0.9905251912783127,0.7825858916819539,0.754827698131649,0.474880018888228,0.6707645362339436,0.9812282413789299,0.6428263697084621,0.6062034121695834,0.3113722361319095,0.5201340060033184,0.9702845816376545,26.870267010000134,58.726621488827256,1578,3125.45458984375,3196.0,0.37787624380805274,0,99,1.0,0.20547852479866918,0.08652772361100627,0.3244293260997927,0.9900901494767416,0.7707949687036467,0.7051670046900748,0.4169143604690311,0.6309587779542508,0.9803747819310329,0.6270678601850053,0.5446007378899773,0.2633555317907836,0.47834137662192205,0.9678907055540134,1.938076397000259,203.2943596082334,394,1129.69140625,3196.0,0.5446646244073499,0.40736162667424647,61,0,0.6819676221404533,61,0,1.4889347610001096,35.52740684700029
20,1980,0.0002828445489890563,0.0002819384797766167,0.5504440845769751,16,4,False,34.03659836099996,0.1884023655390105,0.07657681015545575,0.30022792096978057,0.9906006022530127,0.7855067787686539,0.7589223495413767,0.4914403605947122,0.6786231629682477,0.981376256478918,0.6467774089115518,0.6115027123894523,0.32576793635314966,0.5280160192180512,0.9707483792033033,26.90909876099977,58.64187478054994,1578,3125.45458984375,3196.0,0.3869724520529159,0,99,1.0,0.20760998939197076,0.08712257390019253,0.32809740531868137,0.9899641367690607,0.7569468957132212,0.7207611856095126,0.4072932002704738,0.6283337605310692,0.9801277091313644,0.6089417202715014,0.5634297345432957,0.2557239036962989,0.4760317861703653,0.9674245766576777,1.9496563309999146,202.08689794981987,394,1129.69140625,3196.0,0.5408784989786816,0.3902139915005729,61,0,0.6915430064567902,61,0,1.5303071480002473,35.572198481000214
