case,region,dice,iou,hd95,asd,status,precision,recall,prediction_voxels,target_voxels,hd95_unit,hd95_voxel,asd_voxel,official_dice,official_hd95_voxel,inference_seconds
case0066,edema,0.6986537797721781,0.5368700265251989,6.0,1.152126019020726,ok,0.7071977638015374,0.6903137789904502,1431,1466,voxel,6.0,1.152126019020726,0.6986537797721781,6.0,0.18686336799987657
case0066,scar,0.4453376205787781,0.28645294725956566,2.8284271247461903,0.9180352214197358,ok,0.3301549463647199,0.6839506172839506,1678,810,voxel,2.8284271247461903,0.9180352214197358,0.4453376205787781,2.8284271247461903,0.18686336799987657
case0066,edema_inclusive,0.7342618384401114,0.5801056338028169,3.0,0.9021736422867928,ok,0.6358957864265037,0.8686291739894552,3109,2276,voxel,3.0,0.9021736422867928,0.7342618384401114,3.0,0.18686336799987657
case0066,myocardial_ring,0.9093817219127461,0.8338221907555375,1.0,0.21824056945105574,ok,0.8999017574500601,0.9190635451505017,9161,8970,voxel,1.0,0.21824056945105574,0.9093817219127461,1.0,0.18686336799987657
case0071,normal_myocardium,0.7496080946273336,0.5994985183496695,3.605551275463989,0.7082506496797419,ok,0.8067484662576687,0.7000266169816343,3260,3757,voxel,3.605551275463989,0.7082506496797419,0.7496080946273336,3.605551275463989,0.18198707400006242
case0071,edema,0.7653701380175659,0.6199186991869918,8.54400374531753,1.3179999289131819,ok,0.8015768725361366,0.7322929171668667,1522,1666,voxel,8.54400374531753,1.3179999289131819,0.7653701380175659,8.54400374531753,0.18198707400006242
case0071,scar,0.42825311942959,0.27246952083924014,7.14142842854285,1.5548571374719493,ok,0.39304703476482616,0.47038668624571706,2445,2043,voxel,7.14142842854285,1.5548571374719493,0.42825311942959,7.14142842854285,0.18198707400006242
case0071,edema_inclusive,0.648775403856175,0.48013883532587737,5.830951894845301,1.2467845162682527,ok,0.6276783463574489,0.6713399838231329,3967,3709,voxel,5.830951894845301,1.2467845162682527,0.648775403856175,5.830951894845301,0.18198707400006242
case0071,myocardial_ring,0.8553733070169468,0.7472945653466524,1.0,0.3116015268996498,ok,0.8695170886951709,0.8416822930618805,7227,7466,voxel,1.0,0.3116015268996498,0.8553733070169468,1.0,0.18198707400006242
case0076,normal_myocardium,0.8147811600787521,0.68745208280092,1.4142135623730951,0.36532692113071,ok,0.8445839874411303,0.7870099473376243,3185,3418,voxel,1.4142135623730951,0.36532692113071,0.8147811600787521,1.4142135623730951,0.2075597689999995
case0076,edema,0.8297309905146945,0.7090087695987244,2.0,0.39356566543016896,ok,0.8578778135048232,0.8033724781692262,3110,3321,voxel,2.0,0.39356566543016896,0.8297309905146945,2.0,0.2075597689999995
case0076,scar,0.4332392093586123,0.276519052523172,10.002493781056032,1.8142065942914762,ok,0.34622823984526113,0.5786637931034483,1551,928,voxel,10.002493781056032,1.8142065942914762,0.4332392093586123,10.002493781056032,0.2075597689999995
case0076,edema_inclusive,0.8408529741863076,0.725406661502711,2.23606797749979,0.6856943605936735,ok,0.8036901952370736,0.8816192045187102,4661,4249,voxel,2.23606797749979,0.6856943605936735,0.8408529741863076,2.23606797749979,0.2075597689999995
case0076,myocardial_ring,0.8922838909301876,0.8055167597765364,1.0,0.2046700535689442,ok,0.8821055314810095,0.9026998826137994,7846,7667,voxel,1.0,0.2046700535689442,0.8922838909301876,1.0,0.2075597689999995
case0081,normal_myocardium,0.8702801461632156,0.7703504043126684,1.0,0.2754298075488828,ok,0.8750765462339253,0.8655360387643852,3266,3302,voxel,1.0,0.2754298075488828,0.8702801461632156,1.0,0.1821113729999979
case0081,edema,0.7980935875216638,0.6640230713770728,1.4142135623730951,0.5869310643706023,ok,0.6914414414414415,0.9436475409836066,1332,976,voxel,1.4142135623730951,0.5869310643706023,0.7980935875216638,1.4142135623730951,0.1821113729999979
case0081,scar,0.551219512195122,0.38047138047138046,5.0,1.2606372352990183,ok,0.6,0.5097744360902255,1130,1330,voxel,5.0,1.2606372352990183,0.551219512195122,5.0,0.1821113729999979
case0081,edema_inclusive,0.8003355704697986,0.6671328671328671,3.1622776601683795,0.8074535756650469,ok,0.7749796913078798,0.8274067649609714,2462,2306,voxel,3.1622776601683795,0.8074535756650469,0.8003355704697986,3.1622776601683795,0.1821113729999979
case0081,myocardial_ring,0.8953775582215949,0.8105733908321354,1.0,0.22585170200351137,ok,0.8859986033519553,0.9049572039942939,5728,5608,voxel,1.0,0.22585170200351137,0.8953775582215949,1.0,0.1821113729999979
case0086,normal_myocardium,0.8526160648489315,0.7430956968529223,1.0,0.2974945008232835,ok,0.8712349397590361,0.8347763347763347,2656,2772,voxel,1.0,0.2974945008232835,0.8526160648489315,1.0,0.10776830000008886
case0086,edema,0.7894736842105263,0.6521739130434783,1.3520815280170932,0.6025685338611007,ok,0.726643598615917,0.8641975308641975,578,486,voxel,1.3520815280170932,0.6025685338611007,0.7894736842105263,1.3520815280170932,0.10776830000008886
case0086,scar,0.7634835395750642,0.6174471299093656,2.0,0.4520761649163113,ok,0.7335127860026918,0.7960077896786758,2229,2054,voxel,2.0,0.4520761649163113,0.7634835395750642,2.0,0.10776830000008886
case0086,edema_inclusive,0.8363568356087526,0.7187399549983928,2.0,0.3418807514929176,ok,0.7965799786248664,0.8803149606299212,2807,2540,voxel,2.0,0.3418807514929176,0.8363568356087526,2.0,0.10776830000008886
case0086,myocardial_ring,0.9096983758700696,0.834354783792986,1.0,0.13228824528689265,ok,0.8971261211788395,0.9226280120481928,5463,5312,voxel,1.0,0.13228824528689265,0.9096983758700696,1.0,0.10776830000008886
case0091,normal_myocardium,0.8695290858725762,0.7691742220044107,1.0,0.19802920614832284,ok,0.8170223841749089,0.9292480757844879,3842,3378,voxel,1.0,0.19802920614832284,0.8695290858725762,1.0,0.15607161900015853
case0091,edema,0.8269909768536681,0.7050167224080267,1.4142135623730951,0.3233724527118941,ok,0.9008547008547009,0.7643219724437998,1170,1379,voxel,1.4142135623730951,0.3233724527118941,0.8269909768536681,1.4142135623730951,0.15607161900015853
case0091,scar,0.43178973717146435,0.2753391859537111,5.584160403646171,1.4544846404684275,ok,0.5180180180180181,0.3701716738197425,666,932,voxel,5.584160403646171,1.4544846404684275,0.43178973717146435,5.584160403646171,0.15607161900015853
case0091,edema_inclusive,0.7933445864480347,0.6574740207833732,3.7416573867739413,0.6467374426305037,ok,0.8959694989106753,0.7118130679359584,1836,2311,voxel,3.7416573867739413,0.6467374426305037,0.7933445864480347,3.7416573867739413,0.15607161900015853
case0091,myocardial_ring,0.8929356910354536,0.8065797838525112,1.0,0.23136812282464664,ok,0.8938006340260655,0.8920724204605379,5678,5689,voxel,1.0,0.23136812282464664,0.8929356910354536,1.0,0.15607161900015853
case0096,normal_myocardium,0.7168586727243226,0.5586747597369752,2.23606797749979,0.45440609199945475,ok,0.6052054794520548,0.8790290489454835,3650,2513,voxel,2.23606797749979,0.45440609199945475,0.7168586727243226,2.23606797749979,0.10878943800003071
case0096,edema,0.8352272727272727,0.7170731707317073,1.4142135623730951,1.0501641442605616,ok,0.8376068376068376,0.8328611898016998,702,706,voxel,1.4142135623730951,1.0501641442605616,0.8352272727272727,1.4142135623730951,0.10878943800003071
case0096,scar,0.30018587360594795,0.17659923455440132,17.972071354391282,4.832083025199793,ok,0.8367875647668394,0.18289920724801811,386,1766,voxel,17.972071354391282,4.832083025199793,0.30018587360594795,17.972071354391282,0.10878943800003071
case0096,edema_inclusive,0.5657303370786517,0.3944379161770466,11.683301850205114,2.1370017045670697,ok,0.9255514705882353,0.40736245954692557,1088,2472,voxel,11.683301850205114,2.1370017045670697,0.5657303370786517,11.683301850205114,0.10878943800003071
case0096,myocardial_ring,0.9073331276355034,0.8303840361445783,1.0,0.19133757456381867,ok,0.9309835373575348,0.8848545636910732,4738,4985,voxel,1.0,0.19133757456381867,0.9073331276355034,1.0,0.10878943800003071
case0101,normal_myocardium,0.8658130152604806,0.7633776678008042,1.0,0.21692275224342636,ok,0.8770433546552949,0.8548666435746449,2814,2887,voxel,1.0,0.21692275224342636,0.8658130152604806,1.0,0.15588852700011557
case0101,edema,0.6945636623748211,0.5320547945205479,3.0,0.7431243545446775,ok,0.8031430934656741,0.6118462507876496,1209,1587,voxel,3.0,0.7431243545446775,0.6945636623748211,3.0,0.15588852700011557
case0101,scar,0.05665236051502146,0.029151943462897525,7.648459426866259,2.816611178966212,ok,0.03444676409185804,0.15942028985507245,958,207,voxel,7.648459426866259,2.816611178966212,0.05665236051502146,7.648459426866259,0.15588852700011557
case0101,edema_inclusive,0.7841454178237819,0.6449335548172758,3.0,0.6424023608522615,ok,0.7166589755422242,0.8656633221850614,2167,1794,voxel,3.0,0.6424023608522615,0.7841454178237819,3.0,0.15588852700011557
case0101,myocardial_ring,0.8921548333678327,0.8053064275037369,1.0,0.19878252658361584,ok,0.8652880947600884,0.9207434308908353,4981,4681,voxel,1.0,0.19878252658361584,0.8921548333678327,1.0,0.15588852700011557
case0106,normal_myocardium,0.832579185520362,0.7131782945736435,2.23606797749979,0.3458310618776325,ok,0.934801016088061,0.7505098572399728,1181,1471,voxel,2.23606797749979,0.3458310618776325,0.832579185520362,2.23606797749979,0.0652998570001273
case0106,edema,0.8292201382033564,0.7082630691399663,1.0,0.2334423076474551,ok,0.8974358974358975,0.7706422018348624,936,1090,voxel,1.0,0.2334423076474551,0.8292201382033564,1.0,0.0652998570001273
case0106,scar,0.539906103286385,0.36977491961414793,5.656854249492381,1.1954145499925974,ok,0.7202505219206681,0.43178973717146435,479,799,voxel,5.656854249492381,1.1954145499925974,0.539906103286385,5.656854249492381,0.0652998570001273
case0106,edema_inclusive,0.8202179176755447,0.6952283222165213,2.0,0.31218007720686003,ok,0.9575971731448764,0.7173107464266808,1415,1889,voxel,2.0,0.31218007720686003,0.8202179176755447,2.0,0.0652998570001273
case0106,myocardial_ring,0.8626595030221625,0.7584883377620313,1.4142135623730951,0.20501572097662615,ok,0.9895993836671803,0.7645833333333333,2596,3360,voxel,1.4142135623730951,0.20501572097662615,0.8626595030221625,1.4142135623730951,0.0652998570001273
case0111,normal_myocardium,0.7797481367257775,0.6390058972198821,1.7320508075688772,0.41173511226970244,ok,0.807344332091538,0.7539761431411531,3758,4024,voxel,1.7320508075688772,0.41173511226970244,0.7797481367257775,1.7320508075688772,0.18118951199994626
case0111,edema,0.7512332628611699,0.6015801354401806,2.23606797749979,0.44564377161101837,ok,0.6691776522284997,0.8562248995983935,1593,1245,voxel,2.23606797749979,0.44564377161101837,0.7512332628611699,2.23606797749979,0.18118951199994626
case0111,scar,0.3191183517010062,0.18985176738882553,15.264337522473747,3.2057502676785363,ok,0.22933884297520662,0.5244094488188976,1452,635,voxel,15.264337522473747,3.2057502676785363,0.3191183517010062,15.264337522473747,0.18118951199994626
