case,region,dice_M2,iou_M2,hd95_voxel_M2,precision_M2,recall_M2,official_dice_M2,official_hd95_voxel_M2,dice_M3,iou_M3,hd95_voxel_M3,precision_M3,recall_M3,official_dice_M3,official_hd95_voxel_M3,dice_diff (M3-M2),hd95_diff (M3-M2),official_dice_diff (M3-M2)
case0016,edema_inclusive,0.8110675201321494,0.6821813129558875,2.0,0.781225139220366,0.8432803778445684,0.8110675201321494,2.0,0.8020283118529474,0.6694885361552029,2.0,0.7895174708818635,0.8149420352082439,0.8020283118529474,2.0,-0.009039208279202016,0.0,-0.009039208279202016
case0016,myocardial_ring,0.8117647058823529,0.6831683168316832,1.4142135623730951,0.7797800855222969,0.8464854111405835,0.8117647058823529,1.4142135623730951,0.8362639135344411,0.7186027169392847,1.4142135623730951,0.8143261074458058,0.8594164456233422,0.8362639135344411,1.4142135623730951,0.02449920765208813,0.0,0.02449920765208813
case0021,normal_myocardium,0.848642779587405,0.7370803470388533,1.0,0.8742729306487695,0.8244725738396624,0.848642779587405,1.0,0.8399230604830092,0.7240235814296242,1.0,0.8510177566045908,0.8291139240506329,0.8399230604830092,1.0,-0.008719719104395729,0.0,-0.008719719104395729
case0021,edema,0.62152133580705,0.4508748317631225,9.651407104068907,0.5250783699059561,0.7613636363636364,0.62152133580705,9.651407104068907,0.6019766397124887,0.4305912596401028,8.378086867446248,0.4977711738484398,0.7613636363636364,0.6019766397124887,8.378086867446248,-0.01954469609456133,-1.2733202366226593,-0.01954469609456133
case0021,scar,0.2875,0.1678832116788321,5.839404300103038,0.2893081761006289,0.2857142857142857,0.2875,5.839404300103038,0.5504587155963303,0.379746835443038,3.1622776601683795,0.4363636363636363,0.7453416149068323,0.5504587155963303,3.1622776601683795,0.26295871559633033,-2.677126639934658,0.26295871559633033
case0021,edema_inclusive,0.6623748211731044,0.495187165775401,7.902245355154796,0.5809284818067754,0.7703826955074875,0.6623748211731044,7.902245355154796,0.723047127178825,0.5662285136501517,6.6332495807108,0.5907172995780591,0.9317803660565724,0.723047127178825,6.6332495807108,0.0606723060057206,-1.2689957744439964,0.0606723060057206
case0021,myocardial_ring,0.9158753956355156,0.8448063921327597,1.0,0.9066622691292876,0.9252776842813868,0.9158753956355156,1.0,0.9145793192035968,0.842603550295858,1.0,0.8744243168560024,0.9585997980477954,0.9145793192035968,1.0,-0.0012960764319187579,0.0,-0.0012960764319187579
case0026,normal_myocardium,0.7948303715670436,0.6595174262734584,1.4142135623730951,0.8238446081714669,0.7677902621722846,0.7948303715670436,1.4142135623730951,0.71796587487454,0.5600208768267223,2.03541019662499,0.7736121124729632,0.6697877652933832,0.71796587487454,2.03541019662499,-0.07686449669250361,0.6211966342518946,-0.07686449669250361
case0026,edema,0.6887905604719764,0.5253093363329584,14.85680378278044,0.6414835164835165,0.7436305732484076,0.6887905604719764,14.85680378278044,0.694488188976378,0.5319662243667069,6.367768224739605,0.6869158878504673,0.7022292993630573,0.694488188976378,6.367768224739605,0.005697628504401586,-8.489035558040836,0.005697628504401586
case0026,scar,0.6597096188747731,0.4922139471902505,3.0,0.7919389978213508,0.5653188180404355,0.6597096188747731,3.0,0.637765735723218,0.4681762545899632,3.3166247903554,0.6873315363881402,0.5948678071539658,0.637765735723218,3.3166247903554,-0.021943883151555044,0.3166247903553998,-0.021943883151555044
case0026,edema_inclusive,0.7955056179775281,0.6604477611940298,2.23606797749979,0.8602673147023087,0.7398119122257053,0.7955056179775281,2.23606797749979,0.7598800763150723,0.6127472527472527,2.8284271247461903,0.7943019943019943,0.7283176593521421,0.7598800763150723,2.8284271247461903,-0.035625541662455795,0.5923591472464005,-0.035625541662455795
case0026,myocardial_ring,0.8583020285499624,0.7517767833640432,1.0,0.9098438993309972,0.8122866894197952,0.8583020285499624,1.0,0.8663262240913188,0.7641759406465288,1.0,0.9178866963717376,0.820250284414107,0.8663262240913188,1.0,0.00802419554135636,0.0,0.00802419554135636
case0031,normal_myocardium,0.5351186281418839,0.3652982681205901,9.486832980505138,0.5510401548137397,0.5200913242009132,0.5351186281418839,9.486832980505138,0.7168383434937986,0.5586500655307994,6.082762530298219,0.6641994546162836,0.7785388127853882,0.7168383434937986,6.082762530298219,0.18171971535191467,-3.404070450206919,0.18171971535191467
case0031,edema,0.4555256064690027,0.2949389179755672,30.02490276142239,0.6123188405797102,0.3626609442060086,0.4555256064690027,30.02490276142239,0.516075845012366,0.3477777777777778,11.694000880462369,0.6089494163424124,0.4477825464949928,0.516075845012366,11.694000880462369,0.06055023854336333,-18.33090188096002,0.06055023854336333
case0031,scar,0.2760603882099209,0.1601334445371142,9.643650760992957,0.2474226804123711,0.3121951219512195,0.2760603882099209,9.643650760992957,0.2730074856891237,0.1580826109127996,11.224972160321824,0.297790585975024,0.2520325203252032,0.2730074856891237,11.224972160321824,-0.003052902520797207,1.5813213993288677,-0.003052902520797207
case0031,edema_inclusive,0.4880191693290734,0.3227680929741152,5.385164807134504,0.5134453781512605,0.4649923896499239,0.4880191693290734,5.385164807134504,0.5965509899936129,0.4250606796116505,7.071067811865476,0.6771387143547608,0.5331050228310502,0.5965509899936129,7.071067811865476,0.10853182066453948,1.6859030047309727,0.10853182066453948
